X,fishery,species,management,MC,catchShare,illegalFishing,implementYear,time,biomass,harvest1,harvest2,harvest_ill_for,profit1,profit2,BvBMSY,FvFMSY1,FvFMSY2,FvFMSYill,FvFMSYtotal,harvest,profit
125,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,47,70900.07472,2198.943801,0,0,74038861.48,0,1.153079998,0.851013698,0,0,0.851013698,2198.943801,74038861.48
126,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,47,57626.65875,2100.1694,0,0,59347843.64,0,0.937208428,1,0,0,1,2100.1694,59347843.64
127,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,48,66498.99611,2007.80159,0,0,65453877.27,0,1.081503265,0.828466244,0,0,0.828466244,2007.80159,65453877.27
128,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,48,70912.02648,2200.534928,0,0,74092521.98,0,1.153274375,0.851485943,0,0,0.851485943,2200.534928,74092521.98
129,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,48,57762.02699,2105.102815,0,0,59605588.51,0,0.939409983,1,0,0,1,2105.102815,59605588.51
130,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,49,66723.41824,2014.577558,0,0,65807885.81,0,1.085153144,0.828466244,0,0,0.828466244,2014.577558,65807885.81
131,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,49,70922.31237,2201.904608,0,0,74138716.4,0,1.153441659,0.851892366,0,0,0.851892366,2201.904608,74138716.4
132,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,49,57892.83279,2109.869955,0,0,59854646.36,0,0.941537337,1,0,0,1,2109.869955,59854646.36
133,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,5,46371.84196,1400.103211,0,0,33704848.87,0,0.75416625,0.828466244,0,0,0.828466244,1400.103211,33704848.87
134,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,5,49316.12509,515.6491946,0,0,17002628.46,0,0.802050458,0.286902618,0,0,0.286902618,515.6491946,17002628.46
